Symptoms,Disease
"Diabetes , weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",Diabetes
"Diabetes , fatigue, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",Diabetes
"Diabetes , fatigue, weight loss, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",Diabetes
"Diabetes , fatigue, weight loss, restlessness, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",Diabetes
"Diabetes , fatigue, weight loss, restlessness, lethargy, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",Diabetes
"Diabetes , fatigue, weight loss, restlessness, lethargy, irregular sugar level, obesity, excessive hunger, increased appetite, polyuria",Diabetes
"Diabetes , fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, excessive hunger, increased appetite, polyuria",Diabetes
"Diabetes , fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, increased appetite, polyuria",Diabetes
"Gastroenteritis, vomiting, sunken eyes, dehydration, diarrhoea",Gastroenteritis
"Gastroenteritis, vomiting, sunken eyes, dehydration, diarrhoea",Gastroenteritis
"Gastroenteritis, sunken eyes, dehydration, diarrhoea,",Gastroenteritis
"Gastroenteritis, vomiting, dehydration, diarrhoea,",Gastroenteritis
"Gastroenteritis, vomiting, sunken eyes, diarrhoea,",Gastroenteritis
"Gastroenteritis, vomiting, sunken eyes, dehydration,",Gastroenteritis
"Gastroenteritis, vomiting, sunken eyes, dehydration, diarrhoea",Gastroenteritis
"Gastroenteritis, sunken eyes, dehydration, diarrhoea,",Gastroenteritis
"Gastroenteritis, vomiting, dehydration, diarrhoea,",Gastroenteritis
"Gastroenteritis, vomiting, sunken eyes, diarrhoea,",Gastroenteritis
"Bronchial Asthma, fatigue, cough, high fever, breathlessness, family history, mucoid sputum,",Bronchial Asthma
"Bronchial Asthma, cough, high fever, breathlessness, family history, mucoid sputum",Bronchial Asthma
"Bronchial Asthma, fatigue, high fever, breathlessness, family history, mucoid sputum",Bronchial Asthma
"Bronchial Asthma, fatigue, cough, breathlessness, family history, mucoid sputum",Bronchial Asthma
"Bronchial Asthma, fatigue, cough, high fever, family history, mucoid sputum",Bronchial Asthma
"Bronchial Asthma, fatigue, cough, high fever, breathlessness, mucoid sputum",Bronchial Asthma
"Bronchial Asthma, fatigue, cough, high fever, breathlessness, family history",Bronchial Asthma
"Bronchial Asthma, fatigue, cough, high fever, breathlessness, family history, mucoid sputum,",Bronchial Asthma
"Bronchial Asthma, cough, high fever, breathlessness, family history, mucoid sputum",Bronchial Asthma
"Bronchial Asthma, fatigue, high fever, breathlessness, family history, mucoid sputum",Bronchial Asthma
"Hypertension , headache, chest pain, dizziness, loss of balance, lack of concentration",Hypertension
"Hypertension , chest pain, dizziness, loss of balance, lack of concentration",Hypertension
"Hypertension , headache, dizziness, loss of balance, lack of concentration",Hypertension
"Hypertension , headache, chest pain, loss of balance, lack of concentration",Hypertension
"Hypertension , headache, chest pain, dizziness, lack of concentration",Hypertension
"Hypertension , headache, chest pain, dizziness, loss of balance",Hypertension
"Hypertension , headache, chest pain, dizziness, loss of balance, lack of concentration",Hypertension
"Hypertension , chest pain, dizziness, loss of balance, lack of concentration",Hypertension
"Hypertension , headache, dizziness, loss of balance, lack of concentration",Hypertension
"Hypertension , headache, chest pain, loss of balance, lack of concentration",Hypertension
"Migraine, acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances",Migraine
"Migraine, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances,",Migraine
"Migraine, acidity, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances,",Migraine
"Migraine, acidity, indigestion, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances,",Migraine
"Migraine, acidity, indigestion, headache, excessive hunger, stiff neck, depression, irritability, visual disturbances,",Migraine
"Migraine, acidity, indigestion, headache, blurred and distorted vision, stiff neck, depression, irritability, visual disturbances,",Migraine
"Migraine, acidity, indigestion, headache, blurred and distorted vision, excessive hunger, depression, irritability, visual disturbances,",Migraine
"Migraine, acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, irritability, visual disturbances,",Migraine
"Migraine, acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, visual disturbances,",Migraine
"Migraine, acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability,",Migraine
"Cervical spondylosis, back pain, weakness in limbs, neck pain, dizziness, loss of balance",Cervical spondylosis
"Cervical spondylosis, back pain, weakness in limbs, neck pain, dizziness, loss of balance",Cervical spondylosis
"Cervical spondylosis, weakness in limbs, neck pain, dizziness, loss of balance",Cervical spondylosis
"Cervical spondylosis, back pain, neck pain, dizziness, loss of balance",Cervical spondylosis
"Cervical spondylosis, back pain, weakness in limbs, dizziness, loss of balance",Cervical spondylosis
"Cervical spondylosis, back pain, weakness in limbs, neck pain, loss of balance",Cervical spondylosis
"Cervical spondylosis, back pain, weakness in limbs, neck pain, dizziness",Cervical spondylosis
"Cervical spondylosis, back pain, weakness in limbs, neck pain, dizziness, loss of balance",Cervical spondylosis
"Cervical spondylosis, weakness in limbs, neck pain, dizziness, loss of balance",Cervical spondylosis
"Cervical spondylosis, back pain, neck pain, dizziness, loss of balance",Cervical spondylosis
"Paralysis (brain hemorrhage), vomiting, headache, weakness of one body side, altered sensorium",Paralysis (brain hemorrhage)
"Paralysis (brain hemorrhage), vomiting, headache, weakness of one body side, altered sensorium",Paralysis (brain hemorrhage)
"Paralysis (brain hemorrhage), headache, weakness of one body side, altered sensorium,",Paralysis (brain hemorrhage)
"Paralysis (brain hemorrhage), vomiting, weakness of one body side, altered sensorium,",Paralysis (brain hemorrhage)
"Paralysis (brain hemorrhage), vomiting, headache, altered sensorium,",Paralysis (brain hemorrhage)
"Paralysis (brain hemorrhage), vomiting, headache, weakness of one body side,",Paralysis (brain hemorrhage)
"Paralysis (brain hemorrhage), vomiting, headache, weakness of one body side, altered sensorium",Paralysis (brain hemorrhage)
"Paralysis (brain hemorrhage), headache, weakness of one body side, altered sensorium,",Paralysis (brain hemorrhage)
"Paralysis (brain hemorrhage), vomiting, weakness of one body side, altered sensorium,",Paralysis (brain hemorrhage)
"Paralysis (brain hemorrhage), vomiting, headache, altered sensorium,",Paralysis (brain hemorrhage)
"Jaundice,itching, vomiting, fatigue, weight loss, high fever, yellowish skin, dark urine, abdominal pain,",Jaundice
"Jaundice,itching, vomiting, fatigue, weight loss, high fever, yellowish skin, dark urine, abdominal pain,",Jaundice
"Jaundice, vomiting, fatigue, weight loss, high fever, yellowish skin, dark urine, abdominal pain",Jaundice
"Jaundice,itching, fatigue, weight loss, high fever, yellowish skin, dark urine, abdominal pain",Jaundice
"Jaundice,itching, vomiting, weight loss, high fever, yellowish skin, dark urine, abdominal pain",Jaundice
"Jaundice,itching, vomiting, fatigue, high fever, yellowish skin, dark urine, abdominal pain",Jaundice
"Jaundice,itching, vomiting, fatigue, weight loss, yellowish skin, dark urine, abdominal pain",Jaundice
"Jaundice,itching, vomiting, fatigue, weight loss, high fever, dark urine, abdominal pain",Jaundice
"Jaundice,itching, vomiting, fatigue, weight loss, high fever, yellowish skin, abdominal pain",Jaundice
"Jaundice,itching, vomiting, fatigue, weight loss, high fever, yellowish skin, dark urine",Jaundice
"Malaria, chills, vomiting, high fever, sweating, headache, nausea, muscle pain",Malaria
"Malaria, chills, vomiting, high fever, sweating, headache, nausea, diarrhoea, muscle pain,",Malaria
"Malaria, chills, vomiting, high fever, sweating, headache, nausea, diarrhoea, muscle pain,",Malaria
"Malaria, vomiting, high fever, sweating, headache, nausea, diarrhoea, muscle pain",Malaria
"Malaria, chills, high fever, sweating, headache, nausea, diarrhoea, muscle pain",Malaria
"Malaria, chills, vomiting, sweating, headache, nausea, diarrhoea, muscle pain",Malaria
"Malaria, chills, vomiting, high fever, headache, nausea, diarrhoea, muscle pain",Malaria
"Malaria, chills, vomiting, high fever, sweating, nausea, diarrhoea, muscle pain",Malaria
"Malaria, chills, vomiting, high fever, sweating, headache, diarrhoea, muscle pain",Malaria
"Malaria, chills, vomiting, high fever, sweating, headache, nausea, muscle pain",Malaria
"Chicken pox,itching, skin rash, fatigue, lethargy, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body",Chicken pox
"Chicken pox, skin rash, fatigue, lethargy, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body,",Chicken pox
"Chicken pox,itching, fatigue, lethargy, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body,",Chicken pox
"Chicken pox,itching, skin rash, lethargy, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body,",Chicken pox
"Chicken pox,itching, skin rash, fatigue, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body,",Chicken pox
"Chicken pox,itching, skin rash, fatigue, lethargy, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body,",Chicken pox
"Chicken pox,itching, skin rash, fatigue, lethargy, high fever, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body,",Chicken pox
"Chicken pox,itching, skin rash, fatigue, lethargy, high fever, headache, mild fever, swelled lymph nodes, malaise, red spots over body,",Chicken pox
"Chicken pox,itching, skin rash, fatigue, lethargy, high fever, headache, loss of appetite, swelled lymph nodes, malaise, red spots over body,",Chicken pox
"Chicken pox,itching, skin rash, fatigue, lethargy, high fever, headache, loss of appetite, mild fever, malaise, red spots over body,",Chicken pox
"Dengue, skin rash, chills, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, muscle pain, red spots over body",Dengue
"Dengue, skin rash, chills, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, red spots over body",Dengue
"Dengue, skin rash, chills, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain",Dengue
"Dengue, skin rash, chills, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body,",Dengue
"Dengue, chills, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body",Dengue
"Dengue, skin rash, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body",Dengue
"Dengue, skin rash, chills, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body",Dengue
"Dengue, skin rash, chills, joint pain, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body",Dengue
"Dengue, skin rash, chills, joint pain, vomiting, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body",Dengue
"Dengue, skin rash, chills, joint pain, vomiting, fatigue, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body",Dengue
"Typhoid, chills, vomiting, fatigue, high fever, nausea, constipation, abdominal pain, diarrhoea, toxic look (typhos), belly pain,",Typhoid
"Typhoid, chills, vomiting, fatigue, high fever, headache, constipation, abdominal pain, diarrhoea, toxic look (typhos), belly pain,",Typhoid
"Typhoid, chills, vomiting, fatigue, high fever, headache, nausea, abdominal pain, diarrhoea, toxic look (typhos), belly pain,",Typhoid
"Typhoid, chills, vomiting, fatigue, high fever, headache, nausea, constipation, diarrhoea, toxic look (typhos), belly pain,",Typhoid
"Typhoid, chills, vomiting, fatigue, high fever, headache, nausea, constipation, abdominal pain, toxic look (typhos), belly pain,",Typhoid
"Typhoid, chills, vomiting, fatigue, high fever, headache, nausea, constipation, abdominal pain, diarrhoea, belly pain,",Typhoid
"Typhoid, chills, vomiting, fatigue, high fever, headache, nausea, constipation, abdominal pain, diarrhoea, toxic look (typhos),",Typhoid
"Typhoid, chills, vomiting, fatigue, high fever, headache, nausea, constipation, abdominal pain, diarrhoea, toxic look (typhos), belly pain",Typhoid
"Typhoid, chills, vomiting, fatigue, high fever, headache, nausea, constipation, abdominal pain, diarrhoea, toxic look (typhos), belly pain",Typhoid
"Typhoid, chills, fatigue, high fever, headache, nausea, constipation, abdominal pain, diarrhoea, toxic look (typhos), belly pain,",Typhoid
"hepatitis A, joint pain, vomiting, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain",hepatitis A
"hepatitis A, joint pain, vomiting, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain",hepatitis A
"hepatitis A, vomiting, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain,",hepatitis A
"hepatitis A, joint pain, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain,",hepatitis A
"hepatitis A, joint pain, vomiting, dark urine, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain,",hepatitis A
"hepatitis A, joint pain, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain,",hepatitis A
"hepatitis A, joint pain, vomiting, yellowish skin, dark urine, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain,",hepatitis A
"hepatitis A, joint pain, vomiting, yellowish skin, dark urine, nausea, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain,",hepatitis A
"hepatitis A, joint pain, vomiting, yellowish skin, dark urine, nausea, loss of appetite, diarrhoea, mild fever, yellowing of eyes, muscle pain,",hepatitis A
"hepatitis A, joint pain, vomiting, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, mild fever, yellowing of eyes, muscle pain,",hepatitis A
"Hepatitis B,itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections,",hepatitis A
"Hepatitis B,itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections,",hepatitis A
"Hepatitis B, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Hepatitis B
"Hepatitis B,itching, lethargy, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Hepatitis B
"Hepatitis B,itching, fatigue, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Hepatitis B
"Hepatitis B,itching, fatigue, lethargy, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Hepatitis B
"Hepatitis B,itching, fatigue, lethargy, yellowish skin, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Hepatitis B
"Hepatitis B,itching, fatigue, lethargy, yellowish skin, dark urine, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Hepatitis B
"Hepatitis B,itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Hepatitis B
"Hepatitis B,itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, abdominal pain, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Hepatitis B
"Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite, family history",Hepatitis C
"Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite, yellowing of eyes, family history,",Hepatitis C
"Hepatitis C, yellowish skin, nausea, loss of appetite, yellowing of eyes, family history",Hepatitis C
"Hepatitis C, fatigue, nausea, loss of appetite, yellowing of eyes, family history",Hepatitis C
"Hepatitis C, fatigue, yellowish skin, loss of appetite, yellowing of eyes, family history",Hepatitis C
"Hepatitis C, fatigue, yellowish skin, nausea, yellowing of eyes, family history",Hepatitis C
"Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite, family history",Hepatitis C
"Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite, yellowing of eyes",Hepatitis C
"Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite, yellowing of eyes, family history,",Hepatitis C
"Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite, yellowing of eyes, family history,",Hepatitis C
"Hepatitis D, joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes",Hepatitis D
"Hepatitis D, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Hepatitis D
"Hepatitis D, joint pain, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Hepatitis D
"Hepatitis D, joint pain, vomiting, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Hepatitis D
"Hepatitis D, joint pain, vomiting, fatigue, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Hepatitis D
"Hepatitis D, joint pain, vomiting, fatigue, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Hepatitis D
"Hepatitis D, joint pain, vomiting, fatigue, yellowish skin, dark urine, loss of appetite, abdominal pain, yellowing of eyes,",Hepatitis D
"Hepatitis D, joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, abdominal pain, yellowing of eyes,",Hepatitis D
"Hepatitis D, joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, yellowing of eyes,",Hepatitis D
"Hepatitis D, joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain,",Hepatitis D
"Hepatitis E, joint pain, vomiting, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, coma, stomach bleeding,",Hepatitis E
"Hepatitis E, joint pain, vomiting, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding",Hepatitis E
"Hepatitis E, joint pain, vomiting, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding",Hepatitis E
"Hepatitis E, vomiting, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding,",Hepatitis E
"Hepatitis E, joint pain, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding,",Hepatitis E
"Hepatitis E, joint pain, vomiting, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding,",Hepatitis E
"Hepatitis E, joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding,",Hepatitis E
"Hepatitis E, joint pain, vomiting, fatigue, high fever, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding,",Hepatitis E
"Hepatitis E, joint pain, vomiting, fatigue, high fever, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding,",Hepatitis E
"Hepatitis E, joint pain, vomiting, fatigue, high fever, yellowish skin, dark urine, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding,",Hepatitis E
"Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption, fluid overload",Alcoholic hepatitis
"Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption, fluid overload",Alcoholic hepatitis
"Alcoholic hepatitis, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption, fluid overload,",Alcoholic hepatitis
"Alcoholic hepatitis, vomiting, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption, fluid overload,",Alcoholic hepatitis
"Alcoholic hepatitis, vomiting, yellowish skin, swelling of stomach, distention of abdomen, history of alcohol consumption, fluid overload,",Alcoholic hepatitis
"Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, distention of abdomen, history of alcohol consumption, fluid overload,",Alcoholic hepatitis
"Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach, history of alcohol consumption, fluid overload,",Alcoholic hepatitis
"Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, fluid overload,",Alcoholic hepatitis
"Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption,",Alcoholic hepatitis
"Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption, fluid overload",Alcoholic hepatitis
"Tuberculosis, chills, vomiting, fatigue, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum,",Tuberculosis
"Tuberculosis, chills, vomiting, fatigue, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum,",Tuberculosis
